Title,Area,Sizes,Direction,Floors,Bedrooms,Price,Location,Timestamp of the post,Thumbnail,Post Link
"NHÀ 3 TẦNG, HẺM XE HƠI THÔNG, NGANG 4M, NGUYỄN TRIỆU LUẬT, BÌNH TÂN, GIÁ NHỈNH 3 TỶ",Diện tích: 36 m2,KT: 4x9m,Hướng: No Information,2 lầu,3 phòng ngủ,"Giá: 3,65 tỷ ","Đường Nguyễn Triệu Luật, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",12/08/2023,https://alonhadat.com.vn/files/properties/2023/7/27/thumbnails/013195995-4656-ban-nha-trong-hem-ho-chi-minh.jpg,https://alonhadat.com.vn/nha-3-tang-hem-xe-hoi-thong-ngang-4m-nguyen-trieu-luat-binh-tan-gia-nhinh-3-ty-13195995.html
"Phân lô Hồ Đình, phố Lạc Trung 58M x 5TÔ tô chạy vòng quanh. Giá 8.8 Tỷ",Diện tích: 58 m2,KT: ---,Hướng: No Information,6 lầu,6 phòng ngủ,"Giá: 8,8 tỷ ","Phố Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/9/thumbnails/013249433-2601-phan-lo-ho-dinh-pho-lac-trung-58m-x-5to-to-chay-vong-quanh-gia-8-8-ty.jpg,https://alonhadat.com.vn/phan-lo-ho-dinh-pho-lac-trung-58m-x-5to-to-chay-vong-quanh-gia-8-8-ty-13249433.html
"Cần bán miếng đất mặt tiền Vành Đai 4, gần siêu thị GO,gần ngay ngã tư CT Mỹ Phước-Tân Vạn",Diện tích: 150 m2,KT: 5x30m,Hướng: No Information,No Information,No Information,"Giá: 2,55 tỷ ","Đường Vành Đai 4, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",11/08/2023,https://alonhadat.com.vn/files/properties/2023/7/18/thumbnails/013157472-1432-ban-dat-tho-cu-dat-o-binh-duong-chinh-chu.jpg,https://alonhadat.com.vn/can-ban-mieng-dat-mat-tien-vanh-dai-4-gan-sieu-thi-go-gan-ngay-nga-tu-ct-my-phuoc-tan-van-13157472.html
"BÁN ĐẤT VƯỜN CAO SU, CÂY ĂN TRÁI 2,8 HA - BẾN CÁT, BÌNH DƯƠNG GÍA 39Ỷ",Diện tích: 28.000 m2,KT: ---,Hướng: No Information,No Information,No Information,Giá: 39 tỷ ,"Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",11/08/2023,https://alonhadat.com.vn/files/properties/2023/3/10/thumbnails/012529491-2104-ban-dat-nong-lam-nghiep-binh-duong.jpg,https://alonhadat.com.vn/ban-dat-vuon-cao-su-cay-an-trai-2-8-ha-phuong-chanh-phu-hoa-ben-cat-binh-duong-gia-39y-12529491.html
Tôi cần bán gấp lô 250m2 lô góc ngã tư đường nhựa 30m cạnh trường học,Diện tích: 250 m2,"KT: 12,5x21m",Hướng: No Information,No Information,No Information,"Giá: 3,65 tỷ ","Đại Lộ Bình Dương, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",11/08/2023,https://alonhadat.com.vn/files/properties/2023/8/11/thumbnails/013261703-0331-ban-dat-tho-cu-dat-o-thi-xa-ben-cat-gia-re.jpg,https://alonhadat.com.vn/toi-can-ban-gap-lo-250m2-lo-goc-nga-tu-duong-nhua-30m-canh-truong-hoc-13261703.html
KẸT VỐN KINH DOANH SANG GẤP 651M2.GIÁ 760TR. ĐƯỜNG NHỰA. NGAY TT BÌNH DƯƠNG.,Diện tích: 651 m2,KT: 30x21m,Hướng: No Information,No Information,No Information,Giá: 760 triệu ,"Cách Mạng Tháng Tám, Xã Định  Hiệp, Huyện Dầu Tiếng, Bình Dương",11/08/2023,https://alonhadat.com.vn/files/properties/2023/7/10/thumbnails/20230710_034520_831914_3.jpg,https://alonhadat.com.vn/ket-von-kinh-doanh-sang-gap-651m2-gia-760tr-duong-nhua-ngay-tt-binh-duong--13121731.html
"Bán gấp lô đất mặt tiền đường Vành Đai 4, lô kế góc ngay khu vực đông dân cư",Diện tích: 150 m2,KT: 5x30m,Hướng: No Information,No Information,No Information,"Giá: 2,55 tỷ ","Đường Vành Đai 4, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",11/08/2023,https://alonhadat.com.vn/files/properties/2023/7/18/thumbnails/012622619-5900-ban-dat-tho-cu-dat-o-thi-xa-ben-cat.jpg,https://alonhadat.com.vn/chinh-chu-can-ra-gap-lo-dat-de-dinh-cu-nuoc-ngoai-can-ra-ban-nhanh-12622619.html
"Quá hot cho lô đất trung tâm cách bờ hồ chỉ 1,3km 338m2 chỉ 10 tỷ thương lượng",Diện tích: 338 m2,KT: 19x20m,Hướng: Bắc,No Information,No Information,Giá: 10 tỷ ,"Đường Nguyên Tử Lực, Phường 8, Thành phố Đà Lạt, Lâm Đồng",11/08/2023,https://alonhadat.com.vn/files/properties/2023/8/10/thumbnails/013258191-5641-ban-dat-tho-cu-dat-o-lam-dong.jpg,https://alonhadat.com.vn/qua-hot-cho-lo-dat-trung-tam-cach-bo-ho-chi-1-3km-338m2-chi-10-ty-thuong-luong-13258191.html
"Tôi chính chủ bán nhà Mỹ Đình 36m, 6 tầng, cách phố, ô tô 30m, giá nhỉnh 4tỷ",Diện tích: 36 m2,KT: 4x9m,Hướng: Tây Nam,6 lầu,5 phòng ngủ,"Giá: 4,5 tỷ ","Đường Nhân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",10/08/2023,https://alonhadat.com.vn/files/properties/2023/8/1/thumbnails/013217410-1402-toi-chinh-chu-ban-nha-my-dinh-36m-6-tang-thang-may-cach-mat-pho-40m.jpg,https://alonhadat.com.vn/toi-chinh-chu-ban-nha-my-dinh-36m-6-tang-thang-may-cach-mat-pho-40m-13217410.html
CHÍNH CHỦ BÁN NHÀ PHỐ SÂN VƯỜN CỰC ĐẸP TẠI LAKEVIEW CITY QUẬN 2,Diện tích: 200 m2,"KT: 8,6x20m",Hướng: Đông Bắc,3 lầu,5 phòng ngủ,"Giá: 25,9 tỷ ","Đường Số 8, Thành phố Thủ Đức, Hồ Chí Minh",09/08/2023,https://alonhadat.com.vn/files/properties/2023/6/12/thumbnails/013000667-2525-ban-biet-thu-nha-lien-ke-ho-chi-minh.jpg,https://alonhadat.com.vn/chinh-chu-ban-nha-pho-san-vuon-cuc-dep-tai-lakeview-city-quan-2-13000667.html
Nhà Sài Gòn View Sông chỉ 10' di chuyển đến Cầu Thủ Thiêm 2,Diện tích: 101 m2,KT: 5x20m,Hướng: No Information,4 lầu,4 phòng ngủ,Giá: 88 triệu / m2  ,"Đường Vàm Ô, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai",09/08/2023,https://alonhadat.com.vn/files/properties/2023/8/9/thumbnails/20230809_034620_836065_4.jpg,https://alonhadat.com.vn/nha-sai-gon-view-song-chi-10-di-chuyen-den-cau-thu-thiem-2-13252386.html
NHÀ NGỘP BÁN NHÀ GIÁ RẺ HÓC MÔN THÀNH PHỐ HỒ CHÍ MÌNH,Diện tích: 130 m2,KT: 5x26m,Hướng: No Information,2 lầu,4 phòng ngủ,"Giá: 1,85 tỷ ","Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh",09/08/2023,https://alonhadat.com.vn/files/properties/2023/7/31/thumbnails/013049943-1630-ban-nha-mat-tien-huyen-hoc-mon.jpg,https://alonhadat.com.vn/nha-gia-re-nhat-hoc-mon-thanh-pho-ho-chi-minh-13049943.html
"Bán đất HÀNG HIẾM mặt tiền ngang 50m ngay đường chính DT749A - Long Nguyên, có sẵn 2400 TC",Diện tích: 8.600 m2,KT: 50x180m,Hướng: Đông,No Information,No Information,Giá: 60 tỷ ,"Đường ĐT 749A, Xã Long Nguyên, Huyện Bàu Bàng, Bình Dương",09/08/2023,https://alonhadat.com.vn/files/properties/2023/8/9/thumbnails/013249115-5317-ban-dat-tho-cu-dat-o-binh-duong.jpg,https://alonhadat.com.vn/ban-dat-hang-hiem-mat-tien-ngang-50m-ngay-duong-chinh-dt749a-long-nguyen-co-san-2400-tc-13249115.html
BÁN CĂN NHÀ MỚI ĐẸP HOÀ MINH SÁT BIỂN VỪA HOÀN THÀNH LH HIỀN,Diện tích: 81 m2,"KT: 4,5x18m",Hướng: No Information,3 lầu,4 phòng ngủ,"Giá: 4,8 tỷ ","Đường Hoà Minh 16, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",08/08/2023,https://alonhadat.com.vn/files/properties/2023/8/8/thumbnails/013248120-2114-ban-nha-mat-tien-da-nang-gia-re.jpg,https://alonhadat.com.vn/ban-can-nha-moi-dep-hoa-minh-sat-bien-vua-hoan-thanh-lh-hien-13248120.html
"TÔI CHỦ CẦN BÁN GẤP MẢNH ĐẤT GÓC 2MT 450m2 (18x25M) ĐỐI DIỆN CHỢ, SÁT KCN NHẬT-HÀN",Diện tích: 450 m2,KT: 18x25m,Hướng: No Information,No Information,No Information,"Giá: 1,2 tỷ ","Đường 30 Tháng 4, Phường Định Hòa, Thành phố Thủ Dầu Một, Bình Dương",08/08/2023,https://alonhadat.com.vn/files/properties/2023/7/29/thumbnails/20230729_092624_511387_3.jpg,https://alonhadat.com.vn/ban-lo-mua-dich-ket-tien-sang-nhanh-trong-thang-lo-450m2-sat-sieu-thi-truong-dai-hoc-9484884.html
